Radius;Total flux mean;Std. deviation
0.10000;3.74856e+002;3.14444e-002
0.20000;0.00000e+000;0.00000e+000
0.30000;0.00000e+000;0.00000e+000
0.40000;0.00000e+000;0.00000e+000
0.50000;0.00000e+000;0.00000e+000
0.60000;0.00000e+000;0.00000e+000
0.70000;0.00000e+000;0.00000e+000
0.80000;0.00000e+000;0.00000e+000
0.90000;0.00000e+000;0.00000e+000
1.00000;0.00000e+000;0.00000e+000
1.10000;2.22664e+000;2.28767e-004
1.20000;0.00000e+000;0.00000e+000
1.30000;0.00000e+000;0.00000e+000
1.40000;0.00000e+000;0.00000e+000
1.50000;0.00000e+000;0.00000e+000
1.60000;0.00000e+000;0.00000e+000
1.70000;0.00000e+000;0.00000e+000
1.80000;0.00000e+000;0.00000e+000
1.90000;0.00000e+000;0.00000e+000
2.00000;0.00000e+000;0.00000e+000
2.10000;3.24816e-001;4.33887e-005
2.20000;0.00000e+000;0.00000e+000
2.30000;0.00000e+000;0.00000e+000
2.40000;0.00000e+000;0.00000e+000
2.50000;0.00000e+000;0.00000e+000
2.60000;0.00000e+000;0.00000e+000
2.70000;0.00000e+000;0.00000e+000
2.80000;0.00000e+000;0.00000e+000
2.90000;0.00000e+000;0.00000e+000
3.00000;0.00000e+000;0.00000e+000
3.10000;7.41618e-002;1.63822e-005
3.20000;0.00000e+000;0.00000e+000
3.30000;0.00000e+000;0.00000e+000
3.40000;0.00000e+000;0.00000e+000
3.50000;0.00000e+000;0.00000e+000
3.60000;0.00000e+000;0.00000e+000
3.70000;0.00000e+000;0.00000e+000
3.80000;0.00000e+000;0.00000e+000
3.90000;0.00000e+000;0.00000e+000
4.00000;0.00000e+000;0.00000e+000
4.10000;2.06426e-002;6.05346e-006
4.20000;0.00000e+000;0.00000e+000
4.30000;0.00000e+000;0.00000e+000
4.40000;0.00000e+000;0.00000e+000
4.50000;0.00000e+000;0.00000e+000
4.60000;0.00000e+000;0.00000e+000
4.70000;0.00000e+000;0.00000e+000
4.80000;0.00000e+000;0.00000e+000
4.90000;0.00000e+000;0.00000e+000
5.00000;0.00000e+000;0.00000e+000
5.10000;6.50398e-003;2.95609e-006
5.20000;0.00000e+000;0.00000e+000
5.30000;0.00000e+000;0.00000e+000
5.40000;0.00000e+000;0.00000e+000
5.50000;0.00000e+000;0.00000e+000
5.60000;0.00000e+000;0.00000e+000
5.70000;0.00000e+000;0.00000e+000
5.80000;0.00000e+000;0.00000e+000
5.90000;0.00000e+000;0.00000e+000
6.00000;0.00000e+000;0.00000e+000
6.10000;2.32619e-003;1.37648e-006
6.20000;0.00000e+000;0.00000e+000
6.30000;0.00000e+000;0.00000e+000
6.40000;0.00000e+000;0.00000e+000
6.50000;0.00000e+000;0.00000e+000
6.60000;0.00000e+000;0.00000e+000
6.70000;0.00000e+000;0.00000e+000
6.80000;0.00000e+000;0.00000e+000
6.90000;0.00000e+000;0.00000e+000
7.00000;0.00000e+000;0.00000e+000
7.10000;9.40987e-004;6.99667e-007
7.20000;0.00000e+000;0.00000e+000
7.30000;0.00000e+000;0.00000e+000
7.40000;0.00000e+000;0.00000e+000
7.50000;0.00000e+000;0.00000e+000
7.60000;0.00000e+000;0.00000e+000
7.70000;0.00000e+000;0.00000e+000
7.80000;0.00000e+000;0.00000e+000
7.90000;0.00000e+000;0.00000e+000
8.00000;0.00000e+000;0.00000e+000
8.10000;4.31863e-004;4.09462e-007
8.20000;0.00000e+000;0.00000e+000
8.30000;0.00000e+000;0.00000e+000
8.40000;0.00000e+000;0.00000e+000
8.50000;0.00000e+000;0.00000e+000
8.60000;0.00000e+000;0.00000e+000
8.70000;0.00000e+000;0.00000e+000
8.80000;0.00000e+000;0.00000e+000
8.90000;0.00000e+000;0.00000e+000
9.00000;0.00000e+000;0.00000e+000
9.10000;2.08511e-004;2.46390e-007
9.20000;0.00000e+000;0.00000e+000
9.30000;0.00000e+000;0.00000e+000
9.40000;0.00000e+000;0.00000e+000
9.50000;0.00000e+000;0.00000e+000
9.60000;0.00000e+000;0.00000e+000
9.70000;0.00000e+000;0.00000e+000
9.80000;0.00000e+000;0.00000e+000
9.90000;0.00000e+000;0.00000e+000
10.00000;0.00000e+000;0.00000e+000
